id	name	ping_1	ping_2	ping_3	ping_4	ping_5	ping_6	ping_7	ping_8	zhang_1	zhang_2	StructuredFund
150263	华宝中证1000指数分级A行情吧档案			1.0053	1.2024	1.0051	1.2023	0.9890	1.62%	0.0002	0.02%	True
150261	华宝中证医疗指数分级A行情吧档案			1.0053	1.2048	1.0051	1.2046	0.9940	1.12%	0.0002	0.02%	True
150123	建信央视50A行情吧档案			1.0030	---	1.0028	---	1.0080	-0.50%	0.0002	0.02%	True
150130	国泰国证医药卫生指数分级A行情吧档案			1.0044	1.3277	1.0042	1.3275	0.9990	0.54%	0.0002	0.02%	True
150145	招商沪深300高贝塔分级A行情吧档案			1.0044	1.3067	1.0042	1.3065	0.9720	3.23%	0.0002	0.02%	True
150106	易方达中小板指数分级A行情吧档案			1.0227	---	1.0225	---	1.0320	-0.91%	0.0002	0.02%	True
502011	易方达证券公司分级A行情吧档案			1.0242	---	1.0240	---	0.9850	3.83%	0.0002	0.02%	True
150032	嘉实多利分级债券优先行情吧档案			1.0407	1.3917	1.0405	1.3915	1.0280	1.22%	0.0002	0.02%	True
150198	国泰国证食品饮料行业指数A行情吧档案			1.0024	1.2458	1.0023	1.2457	1.2140	-21.11%	0.0001	0.01%	True
150247	工银中证传媒指数分级A行情吧档案			1.0024	1.2063	1.0023	1.2062	0.9890	1.34%	0.0001	0.01%	True
150117	国泰国证房地产行业指数分级A行情吧档案			1.0024	1.3664	1.0023	1.3663	0.9920	1.04%	0.0001	0.01%	True
150303	华安创业板50指数分级A行情吧档案			1.0051	1.2195	1.0050	1.2194	0.9910	1.40%	0.0001	0.01%	True
502037	大成中证互联网金融指数分级A行情吧档案			1.0048	---	1.0047	---	0.9900	1.47%	0.0001	0.01%	True
150323	工银中证环保产业指数分级A行情吧档案			1.0024	1.1966	1.0023	1.1965	0.9800	2.23%	0.0001	0.01%	True
502001	西部利得中证500等权重分级A行情吧档案			1.0024	1.1954	1.0023	1.1953	0.9680	3.43%	0.0001	0.01%	True
150271	招商国证生物医药指数分级A行情吧档案			1.0039	1.1685	1.0038	1.1684	0.9640	3.97%	0.0001	0.01%	True
150269	招商中证白酒指数分级A行情吧档案			1.0039	1.1685	1.0038	1.1684	0.9690	3.48%	0.0001	0.01%	True
150301	华安中证全指证券公司分级A行情吧档案			1.0051	1.2196	1.0050	1.2195	0.9870	1.80%	0.0001	0.01%	True
150196	国泰国证有色金属行业分级A行情吧档案			1.0024	1.2148	1.0023	1.2147	0.9880	1.44%	0.0001	0.01%	True
150053	泰达稳健行情吧档案			1.0024	1.4154	1.0023	1.4153	0.9730	2.93%	0.0001	0.01%	True
150055	工银中证500分级A行情吧档案			1.0024	1.4090	1.0023	1.4089	0.9730	2.93%	0.0001	0.01%	True
150251	招商中证煤炭等权指数分级A行情吧档案			1.0039	1.1695	1.0038	1.1694	0.9560	4.77%	0.0001	0.01%	True
150327	工银中证新能源指数分级A行情吧档案			1.0024	1.1967	1.0023	1.1966	0.9820	2.04%	0.0001	0.01%	True
502057	广发医疗指数分级A行情吧档案			1.0048	1.1943	1.0047	1.1942	0.9850	1.97%	0.0001	0.01%	True
